"","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read.1","writ.1","recv","send","int","csw","X1m","X5m","X15m","run","blk","new","programa","qntReads","qntCPU","tamArq"
"415",76,82.235987012987,13.0277922077922,4.68580519480519,0.0374025974025974,0,0.013025974025974,1109246005.19481,41990011.012987,1057427030.44156,6162938361.35065,1873.44881818182,680399.429519481,0.0323376623376623,6.52157142857143,428.896103896104,55.4545454545455,1144.16576623377,2139.92962337662,4.80948051948052,4.83441558441558,4.76727272727273,4.72727272727273,0.025974025974026,193.003454545455,"Trinity",80000,4,8.3
"416",78,82.0986582278481,12.9081392405063,4.95037974683544,0.0364430379746835,0,0.00643037974683544,1067482565.67089,42411332.0506329,1057704480.40506,6204003029.87342,1765.97794936709,668588.958417722,0.0304810126582278,6.54736708860759,475.037974683544,65.620253164557,1145.37092405063,2084.41086075949,4.51518987341772,4.80481012658228,4.78227848101266,4.68354430379747,0.0126582278481013,189.90382278481,"Trinity",80000,4,8.3
"417",77,82.3535897435897,13.0175641025641,4.58876923076923,0.0336410256410256,0,0.00647435897435897,1107336323.28205,42718339.2820513,1057685188.92308,6163861556.51282,1731.41714102564,671865.468782051,0.0298846153846154,6.49125641025641,423.089743589744,56.6666666666667,1143.61438461538,2079.40906410256,4.87666666666667,4.91128205128205,4.83410256410256,4.62820512820513,0,191.042641025641,"Trinity",80000,4,8.3
"418",77,82.3625256410256,13.1014487179487,4.48644871794872,0.0399487179487179,0,0.0097051282051282,1103956073.02564,43032681.025641,1057835690.66667,6166776963.28205,1677.59861538462,677957.479871795,0.0289615384615385,7.05619230769231,435.589743589744,70.3076923076923,1133.04329487179,2084.38638461538,5.41487179487179,5.11666666666667,4.92538461538462,4.61538461538461,0.0384615384615385,192.923897435897,"Trinity",80000,4,8.3
"419",77,82.3411282051282,13.1264871794872,4.49234615384615,0.0367820512820513,0,0.00330769230769231,1065810655.17949,43396804.9230769,1057913882.25641,6204480065.64103,1627.44157692308,673018.972423077,0.0280897435897436,6.82634615384615,484.538461538462,72.9871794871795,1131.24287179487,2071.60294871795,5.36230769230769,5.29679487179487,5.04410256410256,4.83333333333333,0.0128205128205128,190.995769230769,"Trinity",80000,4,8.3
"420",77,82.2313333333333,13.1816025641026,4.53428205128205,0.0367820512820513,0,0.0161410256410256,1092387761.23077,43790336,1058022058.66667,6177401252.10256,1580.10619230769,672483.188807692,0.0272820512820513,6.50662820512821,426.051282051282,62.5641025641026,1137.72508974359,2084.07041025641,5.09794871794872,5.14217948717949,5.02679487179487,4.83333333333333,0,192.796320512821,"Trinity",80000,4,8.3
"421",76,82.4018311688312,13.0753246753247,4.47907792207792,0.0371948051948052,0,0.0065974025974026,1123881279.16883,44138549.1948052,1058100636.25974,6145480943.37662,1555.71209090909,681953.023116883,0.0268571428571429,6.96857142857143,436.181818181818,60.5194805194805,1136.26848051948,2121.98014285714,4.98844155844156,5.13428571428571,5.05155844155844,4.53246753246753,0.051948051948052,194.317506493506,"Trinity",80000,4,8.3
"422",76,82.3328181818182,13.0813896103896,4.5324025974026,0.0339220779220779,0,0.0194545454545455,1078003844.98701,44443940.5714286,1058146490.18182,6191007132.25974,1513.6197012987,682791.113441558,0.0261298701298701,6.68375324675325,429.545454545455,54.3636363636364,1136.16767532468,2097.85937662338,5.03415584415584,5.05103896103896,5.02805194805195,4.72727272727273,0,194.333402597403,"Trinity",80000,4,8.3
"423",76,82.2572207792208,13.2071688311688,4.48205194805195,0.0404285714285714,0,0.013038961038961,1081492360.31169,44807952.6233766,1058243304.72727,6187057790.33766,1473.60201298701,680112.349363636,0.0254415584415584,6.74941558441558,486.909090909091,70.1818181818182,1135.79912987013,2097.72516883117,5.28,5.19376623376623,5.09194805194805,4.76623376623377,0.012987012987013,194.841194805195,"Trinity",80000,4,8.3
"424",76,82.0497272727273,13.2427922077922,4.61505194805195,0.0827142857142857,0,0.00983116883116883,1101915707.84416,45115684.5714286,1058366025.14286,6166203990.44156,1435.62738961039,681684.620207792,0.0247792207792208,6.99684415584416,427.61038961039,56.6493506493507,1148.09988311688,2161.78479220779,4.45415584415584,4.90220779220779,5.00415584415584,4.67532467532468,0,193.72412987013,"Trinity",80000,4,8.3
